,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI
385,53.45,62.27,44.68,34.63,1313.0,43.57,0.93,18.54,20.57,0.62,0.52,117.0
386,63.58,150.78,48.29,41.69,1342.0,26.58,1.15,13.94,22.0,0.84,0.42,113.0
387,57.91,133.63,33.73,29.72,1233.0,16.27,1.08,11.77,11.02,0.81,0.34,146.0
388,41.36,92.58,24.11,35.97,1146.0,14.08,0.99,5.66,15.4,0.76,0.31,102.0
389,51.7,121.42,15.35,51.13,1145.0,19.55,1.23,7.78,18.12,0.64,0.84,98.0
390,54.34,108.47,7.72,45.69,924.0,17.79,1.04,8.68,26.95,0.63,0.59,104.0
391,54.33,76.37,14.67,41.42,1075.0,20.6,1.05,8.73,17.6,0.89,0.7,91.0
392,84.84,50.03,20.32,36.42,1127.0,53.81,1.16,2.96,17.21,1.38,0.81,118.0
393,87.02,83.23,7.3,36.39,736.0,22.43,1.12,3.02,26.32,1.45,0.76,175.0
394,71.42,130.22,8.62,37.09,794.0,20.22,1.21,4.28,23.31,1.02,0.64,149.0
395,119.16,218.27,15.82,48.59,1177.0,33.27,1.32,6.07,23.3,2.02,0.94,183.0
396,84.45,158.01,15.81,55.88,1235.0,30.23,1.85,6.34,17.17,1.16,1.26,184.0
397,76.8,159.14,17.4,55.92,1241.0,27.39,1.39,5.9,15.86,1.84,0.73,156.0
398,75.57,193.59,13.74,62.78,1243.0,23.28,1.9,5.54,25.77,1.72,0.68,153.0
399,74.6,152.36,10.79,49.76,1071.0,22.79,1.6,5.13,28.21,1.67,0.75,141.0
400,72.11,121.86,9.3,49.34,1032.0,21.72,1.37,4.07,31.13,1.4,0.56,139.0
401,63.42,169.11,5.2,45.84,796.0,19.25,1.81,3.74,32.4,0.8,0.56,154.0
402,82.78,351.51,4.31,84.52,1164.0,19.97,3.28,2.76,37.66,0.89,0.66,199.0
