,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI
708,44.96,135.0,10.65,40.56,0.0,24.42,1.19,6.68,13.5,3.79,4.98,163.0
709,30.37,124.8,7.35,37.24,0.0,24.0,0.46,3.47,6.73,5.57,5.58,75.0
710,24.98,138.06,10.07,42.15,0.0,32.37,1.76,8.15,8.43,4.45,4.65,132.0
711,42.19,131.75,4.07,25.22,0.0,28.36,1.46,6.85,22.58,1.85,1.74,119.0
713,30.72,180.88,8.36,23.41,0.0,25.14,0.54,2.62,22.5,1.8,2.04,104.0
714,28.47,142.64,14.16,37.05,0.0,27.42,1.15,3.72,12.13,1.86,3.39,93.0
715,34.57,137.45,14.64,37.38,0.0,36.2,1.39,4.25,7.08,2.58,3.04,134.0
716,36.97,143.58,8.67,38.93,0.0,23.44,1.63,4.35,13.37,2.78,5.85,103.0
717,35.21,130.91,7.48,40.15,0.0,28.81,0.79,4.81,26.23,2.87,5.5,90.0
718,37.8,144.73,8.19,40.9,0.0,20.01,0.73,4.27,25.9,2.82,5.5,97.0
719,19.09,121.19,6.35,35.67,0.0,18.42,0.71,3.75,18.88,2.96,4.76,93.0
720,19.68,99.9,6.17,24.18,0.0,16.41,0.46,4.19,16.53,3.26,4.52,74.0
721,39.64,176.96,7.26,30.67,0.0,17.54,0.28,4.74,28.61,4.78,7.43,75.0
722,43.67,150.64,15.23,72.51,0.0,17.39,0.74,7.81,37.75,9.07,13.98,100.0
723,57.79,141.76,14.19,79.24,0.0,18.3,0.62,7.79,11.26,7.52,5.94,112.0
724,39.11,145.35,5.4,46.39,0.0,17.31,0.71,4.93,52.62,3.93,3.64,114.0
725,34.02,121.66,7.15,49.47,0.0,17.08,0.84,5.17,34.44,3.63,4.39,104.0
726,53.5,111.09,5.22,41.33,0.0,16.9,0.7,7.04,23.74,3.94,3.79,90.0
727,38.53,80.87,2.34,20.7,0.0,17.07,0.2,4.32,17.27,3.16,2.63,84.0
730,40.96,128.38,9.9,47.25,0.0,17.59,0.74,4.92,41.16,2.76,2.06,106.0
732,19.61,105.34,8.81,40.94,0.0,17.62,0.68,4.93,29.95,2.35,2.36,83.0
733,26.66,106.4,9.8,49.02,0.0,19.41,0.74,4.95,31.55,4.07,4.61,87.0
734,36.93,118.86,6.9,38.48,0.0,24.85,0.76,4.58,39.09,4.02,3.48,91.0
735,36.09,114.62,7.03,36.01,0.0,25.09,0.63,4.57,35.78,3.12,3.3,85.0
736,41.53,131.53,7.88,39.13,0.0,24.47,0.59,4.32,39.95,3.62,3.19,88.0
737,47.48,140.54,7.12,40.87,0.0,25.17,0.79,5.57,43.82,3.83,2.83,106.0
738,37.61,124.94,4.72,33.21,0.0,25.52,0.67,4.83,39.25,2.71,2.18,95.0
739,43.11,136.23,8.29,44.61,0.0,24.41,0.86,8.12,38.14,6.53,3.66,87.0
740,74.1,125.23,4.58,37.38,0.0,24.92,0.61,5.51,59.48,4.82,4.63,130.0
741,42.42,142.13,6.56,47.35,0.0,25.29,1.02,5.96,56.92,4.81,3.79,132.0
742,24.26,140.88,7.53,44.12,0.0,26.47,0.68,3.72,52.42,3.02,3.19,110.0
743,31.22,108.09,4.05,26.86,0.0,26.04,0.55,3.67,50.8,2.17,2.0,91.0
746,31.65,128.58,7.04,34.1,0.0,23.82,0.53,5.25,53.3,2.18,1.69,66.0
754,41.55,121.2,8.58,45.39,0.0,23.95,5.28,6.23,51.39,2.05,1.58,100.0
755,34.96,114.94,7.97,41.5,0.0,23.3,6.42,4.81,49.67,2.57,1.42,168.0
756,27.04,109.75,5.55,28.01,0.0,24.99,7.32,3.67,47.81,1.7,1.05,182.0
757,23.36,87.39,12.36,46.38,0.0,27.95,8.19,5.81,19.01,2.07,1.46,174.0
760,31.79,83.98,10.38,40.89,0.0,24.82,7.54,4.51,34.35,1.73,1.85,230.0
761,37.81,81.51,6.94,40.55,0.0,24.8,1.55,7.85,47.14,1.45,2.19,97.0
762,27.42,81.76,8.06,43.93,0.0,23.83,1.87,8.57,39.53,1.53,1.85,101.0
763,49.35,82.75,8.73,58.2,0.0,22.26,6.34,5.18,72.53,1.27,1.7,94.0
764,32.16,93.4,5.83,43.39,0.0,22.29,15.93,3.37,50.44,2.59,1.84,207.0
767,32.73,117.9,7.98,45.2,0.0,21.39,15.22,4.71,60.34,3.02,2.18,273.0
768,43.1,102.65,10.78,64.19,0.0,20.74,12.47,6.59,65.58,4.88,2.15,238.0
769,41.94,91.18,6.83,45.34,0.0,20.2,9.04,7.24,64.64,4.01,5.09,200.0
770,38.04,103.85,6.81,45.51,0.0,21.68,0.58,6.22,12.28,3.56,5.01,69.0
771,36.09,102.51,6.31,41.63,0.0,20.99,0.66,7.38,13.96,3.61,3.64,77.0
772,29.54,93.69,8.73,51.47,0.0,21.44,1.01,5.61,41.88,2.29,2.63,109.0
773,27.65,81.87,10.35,57.48,0.0,22.83,0.68,5.79,43.53,3.81,4.09,80.0
783,42.13,116.85,9.87,51.89,0.0,21.67,1.11,17.04,66.01,4.17,4.38,106.0
784,44.09,107.48,13.23,49.76,0.0,22.22,0.38,9.22,45.32,5.63,4.01,99.0
785,42.73,92.91,10.08,47.21,0.0,21.92,0.4,9.04,21.94,3.49,3.12,83.0
786,40.96,86.08,8.08,35.46,0.0,22.93,0.34,7.42,19.64,3.33,2.81,75.0
787,35.66,90.69,7.38,32.39,0.0,24.05,0.39,7.69,34.75,1.69,1.88,73.0
788,37.55,85.57,8.72,38.99,0.0,22.87,0.46,7.0,25.64,1.71,1.67,70.0
789,31.19,87.32,8.91,43.09,0.0,22.97,0.46,6.84,27.08,2.18,1.88,71.0
790,39.98,98.33,28.97,72.79,0.0,107.53,0.36,6.83,32.88,2.42,1.66,71.0
791,36.36,85.55,14.27,51.16,0.0,24.18,0.38,6.54,22.95,4.52,1.77,75.0
792,29.87,89.98,8.12,40.71,0.0,26.25,1.01,6.43,22.65,2.34,2.09,104.0
793,28.41,75.22,11.64,41.35,0.0,26.53,0.53,8.16,13.85,1.39,1.55,57.0
794,23.15,78.15,5.99,25.6,0.0,27.95,0.39,7.12,20.8,1.67,1.71,59.0
795,26.67,74.17,6.52,29.12,0.0,31.01,0.35,6.61,19.79,1.52,1.67,54.0
796,27.87,81.97,9.75,38.6,0.0,34.12,0.35,5.4,25.64,1.43,1.53,59.0
797,31.78,84.76,9.48,41.89,0.0,30.12,0.79,8.94,29.59,2.27,2.41,102.0
798,32.53,98.45,7.46,38.79,0.0,35.13,0.35,6.8,16.07,2.28,2.54,72.0
799,29.4,71.8,5.62,22.5,0.0,42.48,0.21,5.47,29.37,1.71,1.42,66.0
800,28.94,76.71,6.79,25.81,0.0,28.2,0.22,5.57,26.56,2.13,1.74,56.0
801,27.07,65.19,7.54,28.21,0.0,26.09,0.13,5.54,30.11,2.31,2.27,66.0
802,42.64,98.52,6.48,26.88,0.0,30.64,0.26,6.36,19.9,2.08,1.72,55.0
803,21.93,70.51,7.72,25.17,0.0,34.32,0.46,3.91,11.13,1.02,1.18,69.0
804,17.99,66.24,7.98,23.84,0.0,33.53,0.28,4.61,8.93,0.86,0.94,44.0
805,27.59,63.81,11.33,23.73,0.0,26.96,0.21,4.77,28.92,0.97,1.39,54.0
806,39.28,107.17,6.33,30.51,0.0,27.37,0.16,4.14,47.72,2.98,3.49,98.0
807,32.33,87.57,6.96,30.75,0.0,25.99,0.78,7.59,66.57,1.96,2.19,99.0
808,32.31,81.68,4.96,21.08,0.0,25.66,0.2,5.33,57.26,2.21,2.61,95.0
809,38.73,105.25,6.29,29.11,0.0,26.78,0.3,4.51,60.19,2.19,2.05,87.0
810,36.42,95.55,6.75,30.76,0.0,26.49,0.48,5.53,42.51,1.96,1.83,83.0
811,43.96,105.81,6.52,32.28,0.0,23.98,0.55,6.87,36.22,2.42,4.92,74.0
812,44.26,102.04,8.71,41.3,0.0,24.06,0.68,8.28,42.18,2.38,2.57,89.0
813,67.75,107.42,7.38,39.52,0.0,20.33,0.48,7.14,43.89,2.85,2.18,140.0
814,47.51,114.14,11.76,40.07,0.0,20.79,0.56,9.41,52.37,4.72,2.82,104.0
815,53.63,116.45,7.44,35.29,0.0,22.33,0.3,12.82,68.34,1.62,1.72,99.0
816,40.42,114.11,5.59,27.16,0.0,22.04,0.13,3.65,45.77,2.63,2.06,90.0
817,55.94,105.81,4.71,30.4,0.0,25.2,0.25,4.77,40.7,3.39,2.75,82.0
818,41.83,89.06,2.7,23.82,0.0,28.76,0.32,3.28,52.94,2.47,2.03,112.0
819,46.83,69.68,3.32,27.69,0.0,25.74,0.14,2.48,47.33,2.25,2.44,90.0
820,55.9,94.22,5.13,37.77,0.0,22.44,0.26,2.53,53.42,2.96,2.9,112.0
821,51.65,108.37,5.59,37.78,0.0,24.02,0.51,2.79,61.72,3.85,2.95,124.0
822,32.61,104.58,5.32,30.53,0.0,28.54,0.48,2.59,66.27,1.93,1.65,113.0
823,39.37,106.07,9.79,41.21,0.0,26.81,0.68,2.79,68.42,2.01,1.43,117.0
824,36.85,99.33,3.61,25.76,0.0,25.66,0.54,2.3,72.54,2.55,2.12,120.0
825,29.5,78.34,3.71,20.83,0.0,27.27,0.44,2.0,69.06,1.78,1.55,94.0
826,29.52,92.48,6.17,19.83,0.0,27.92,0.33,2.28,66.84,2.09,1.9,110.0
827,31.08,79.87,5.33,24.61,0.0,28.02,0.46,2.65,68.4,2.98,2.25,94.0
828,36.66,103.5,7.3,34.42,0.0,26.68,0.68,2.8,45.04,3.19,2.75,82.0
829,29.29,89.11,7.08,28.32,0.0,25.78,0.48,2.54,37.96,1.78,1.69,75.0
830,43.0,90.64,8.28,34.64,0.0,29.59,0.74,3.03,60.0,1.93,1.41,99.0
831,31.18,92.2,7.17,34.13,0.0,28.14,0.44,2.39,60.0,2.44,1.74,99.0
833,50.54,105.34,7.07,37.62,0.0,24.73,0.56,4.26,75.93,2.92,2.3,108.0
834,51.33,104.38,6.96,39.64,0.0,24.12,0.55,5.03,63.27,3.62,1.96,107.0
835,35.01,101.83,9.78,45.01,0.0,24.52,0.69,6.77,60.39,2.4,1.76,106.0
837,34.86,79.44,5.28,27.93,0.0,31.55,0.44,5.81,83.69,1.32,0.64,86.0
838,38.46,66.4,4.73,24.41,0.0,28.01,0.44,5.07,91.3,2.24,2.3,77.0
839,38.13,84.63,6.11,25.49,0.0,31.93,0.52,4.74,81.46,1.38,1.07,92.0
840,29.75,56.29,5.45,24.78,0.0,28.87,0.43,4.71,47.22,2.53,1.39,81.0
841,21.53,80.41,4.21,24.41,0.0,35.77,0.47,4.71,54.16,1.38,1.14,75.0
842,25.46,62.1,4.85,22.79,0.0,30.19,0.45,4.83,24.41,1.19,1.02,64.0
843,28.49,74.8,2.67,23.6,0.0,27.92,0.08,3.68,7.03,1.51,1.41,50.0
845,29.88,108.62,3.54,31.4,0.0,28.23,0.19,3.52,27.0,1.53,1.12,66.0
846,33.95,110.88,4.52,42.65,0.0,27.58,0.7,3.86,48.16,1.87,1.7,92.0
847,40.01,100.72,7.39,38.94,0.0,28.45,0.67,5.61,27.84,3.71,2.69,87.0
848,62.07,84.02,4.72,32.77,0.0,27.29,0.49,4.4,61.69,1.52,1.44,96.0
849,38.44,76.53,8.49,39.84,0.0,28.89,0.44,5.15,43.66,1.44,1.64,139.0
851,20.32,80.58,6.21,31.84,0.0,25.82,0.39,4.82,39.36,0.96,0.75,77.0
852,24.2,78.44,8.2,41.08,0.0,26.1,0.35,4.88,24.89,0.92,0.85,60.0
854,42.2,90.14,12.03,43.35,0.0,22.96,0.47,5.54,17.45,1.59,1.55,94.0
855,28.27,85.96,8.55,42.47,0.0,31.0,0.62,5.76,6.19,2.33,1.76,80.0
857,30.26,76.29,6.46,29.37,0.0,22.61,0.4,5.31,29.52,2.69,1.0,98.0
858,27.66,57.56,6.67,31.17,0.0,29.12,0.43,4.16,52.55,2.34,1.14,82.0
859,32.01,57.82,4.81,31.86,0.0,30.32,0.23,3.67,33.71,1.6,1.22,69.0
860,23.19,74.07,4.28,32.79,0.0,31.83,0.18,2.54,25.26,0.75,0.73,41.0
861,28.52,35.51,5.81,39.12,0.0,22.39,0.42,8.55,36.74,1.06,1.26,53.0
862,50.58,62.09,5.9,23.23,0.0,11.61,0.52,15.38,10.9,0.98,1.49,68.0
863,120.56,73.92,6.92,26.63,0.0,11.24,0.49,8.45,18.96,1.66,1.58,156.0
864,25.22,73.47,6.26,30.63,0.0,18.05,0.54,3.65,16.82,1.37,1.28,101.0
865,14.94,50.05,5.02,26.57,0.0,18.34,0.52,3.52,38.46,0.84,0.82,52.0
866,19.1,65.84,3.8,29.5,0.0,17.72,0.36,3.83,34.53,1.46,1.27,56.0
867,22.93,65.3,3.62,26.74,0.0,18.17,0.38,3.73,45.09,1.03,0.91,67.0
868,36.58,59.73,4.78,27.92,0.0,15.07,0.66,3.32,13.13,1.06,0.98,70.0
869,20.87,45.38,5.6,32.01,0.0,18.85,0.56,3.49,21.6,1.15,1.25,64.0
870,17.43,68.76,9.54,37.75,0.0,23.79,0.37,3.49,21.87,1.43,1.17,50.0
871,12.53,50.36,8.01,34.15,0.0,23.65,0.37,3.51,23.31,0.9,0.79,59.0
872,16.58,69.24,8.33,33.06,0.0,23.78,0.33,2.99,13.76,1.32,1.25,44.0
873,25.83,63.33,8.79,37.11,0.0,24.31,0.41,3.57,20.05,1.28,1.23,58.0
874,19.58,58.26,5.7,30.27,0.0,23.85,0.33,3.77,26.67,1.32,1.43,62.0
875,21.39,59.53,6.42,29.53,0.0,23.75,0.38,3.75,16.72,1.21,1.16,57.0
876,24.85,69.0,6.67,26.78,0.0,23.65,0.41,3.65,11.46,0.68,0.58,66.0
877,18.21,44.46,7.45,29.32,0.0,23.57,0.42,3.6,18.34,0.93,1.14,47.0
878,19.75,52.33,6.48,25.4,0.0,23.46,0.28,3.66,12.12,0.62,0.59,41.0
879,21.08,60.65,6.93,26.89,0.0,23.67,0.34,3.32,9.02,0.56,0.39,43.0
880,23.2,56.28,4.93,25.22,0.0,23.64,0.26,3.33,9.85,0.59,0.44,46.0
881,22.87,77.5,4.43,27.67,0.0,23.73,0.17,3.09,9.92,0.65,0.42,42.0
882,22.79,59.56,5.31,31.62,0.0,23.75,0.68,4.57,10.13,0.68,0.58,54.0
883,20.19,60.05,5.35,32.25,0.0,23.66,0.35,3.89,8.69,0.67,0.42,52.0
884,20.98,56.9,7.0,33.91,0.0,23.86,0.3,3.08,8.19,0.57,0.25,42.0
886,21.81,82.88,4.91,31.17,0.0,23.75,0.98,4.21,8.38,0.9,0.78,29.0
887,22.93,49.92,4.85,30.17,0.0,23.64,0.85,3.86,7.92,0.93,0.94,54.0
888,22.94,32.85,7.4,27.88,0.0,23.83,0.53,4.37,10.29,0.82,0.88,47.0
889,20.75,75.64,3.35,25.47,0.0,23.61,0.59,4.56,14.64,0.84,1.07,51.0
890,23.65,82.24,5.32,27.84,0.0,23.79,0.65,4.59,19.12,0.87,0.95,55.0
891,19.78,91.96,7.02,31.35,0.0,23.65,0.61,4.87,19.88,0.6,0.57,54.0
892,16.51,77.75,7.41,30.97,0.0,23.52,0.54,4.72,19.08,0.46,0.39,51.0
893,19.12,65.59,7.04,28.24,0.0,23.68,0.58,4.79,19.47,0.68,0.57,45.0
894,21.6,100.65,6.02,28.56,0.0,23.7,0.8,4.33,19.68,0.71,0.61,44.0
895,19.77,95.84,6.27,29.47,0.0,23.66,0.63,4.24,21.06,0.63,0.57,59.0
896,24.56,112.8,7.97,31.52,0.0,23.69,0.87,4.74,20.85,0.7,0.9,76.0
897,24.66,89.59,9.56,31.25,0.0,23.91,0.62,5.71,18.43,1.0,1.93,65.0
898,24.18,87.23,7.17,30.54,0.0,23.92,0.56,4.36,20.06,0.94,1.87,60.0
899,17.82,92.85,3.68,26.38,0.0,23.74,0.63,5.21,9.1,0.72,0.78,57.0
900,16.61,85.76,4.02,25.73,0.0,23.76,0.58,4.74,10.17,1.03,1.11,50.0
901,24.03,90.54,3.55,25.75,0.0,23.87,0.61,6.85,7.75,1.0,0.85,53.0
902,19.58,110.37,3.13,30.5,0.0,23.87,0.6,7.44,13.04,0.79,0.78,70.0
903,21.05,71.41,3.57,26.66,0.0,23.97,0.62,5.8,8.43,0.92,0.81,60.0
904,24.53,38.64,9.1,30.26,0.0,23.86,0.58,7.02,13.82,0.68,0.54,54.0
905,25.35,123.16,19.79,45.04,0.0,35.99,0.55,6.42,10.04,0.6,0.46,60.0
906,25.16,89.68,17.58,39.31,0.0,31.68,0.56,5.68,7.84,0.58,0.49,71.0
907,31.13,96.37,12.54,37.52,0.0,31.96,1.16,7.96,8.44,1.73,1.44,138.0
908,37.61,111.77,13.6,38.89,0.0,31.97,0.83,6.63,8.39,0.52,0.43,78.0
909,37.34,97.49,10.09,34.73,0.0,32.02,0.6,6.63,8.99,0.51,0.4,82.0
910,36.44,78.38,12.12,31.89,0.0,32.05,0.42,6.62,9.92,0.54,0.41,76.0
911,35.4,107.39,15.16,33.89,0.0,31.99,0.69,6.63,10.32,0.59,0.44,76.0
912,25.33,129.55,24.27,39.99,0.0,31.77,0.67,7.11,11.34,0.67,0.4,92.0
913,30.07,110.45,54.79,68.84,0.0,90.01,1.64,6.55,10.47,0.67,1.96,160.0
914,25.82,93.48,43.48,68.34,0.0,104.87,0.69,6.23,10.21,0.76,0.49,92.0
919,313.59,120.31,24.05,32.94,0.0,29.43,0.69,4.97,9.39,1.09,0.73,108.0
920,35.29,109.11,17.04,31.08,0.0,32.09,0.6,5.16,9.34,0.78,0.5,112.0
921,33.44,102.45,13.86,29.55,0.0,32.39,0.63,5.33,10.61,0.8,0.56,102.0
922,29.38,88.16,17.23,29.5,0.0,30.96,0.64,4.09,12.44,0.74,0.63,78.0
923,27.64,76.48,12.48,26.82,0.0,27.05,0.68,5.16,18.42,1.0,1.04,67.0
924,28.97,95.74,16.61,30.58,0.0,27.1,1.53,4.45,24.82,0.81,0.69,74.0
925,22.68,96.47,13.31,30.3,0.0,26.36,0.67,5.41,47.62,0.69,0.54,72.0
926,22.43,112.32,16.15,32.43,0.0,26.88,0.6,7.9,47.14,0.73,0.57,82.0
927,17.2,98.67,13.34,31.1,0.0,26.78,0.52,6.3,23.82,0.59,0.41,61.0
928,21.05,110.36,11.56,30.06,0.0,26.87,0.58,4.72,44.94,0.66,0.42,68.0
929,18.45,82.75,12.68,29.79,0.0,26.88,0.62,4.58,27.09,0.59,0.49,68.0
930,16.44,66.58,18.77,31.75,0.0,27.04,0.68,4.71,30.16,0.59,0.51,60.0
931,31.68,87.62,16.76,31.34,0.0,26.84,0.65,5.1,54.5,0.41,0.38,61.0
932,21.53,104.24,15.46,31.7,0.0,26.79,1.12,5.3,41.97,0.61,1.18,111.0
933,20.15,120.48,17.16,33.19,0.0,27.12,1.35,4.29,53.85,0.57,1.38,132.0
934,17.34,117.82,15.55,32.36,0.0,26.75,1.08,5.61,24.37,0.54,1.07,107.0
935,24.23,111.03,10.47,31.45,0.0,26.97,1.08,5.68,42.69,0.76,1.14,109.0
936,28.54,99.2,11.09,30.72,0.0,27.22,1.4,5.2,50.04,0.55,3.18,164.0
937,23.68,105.63,9.88,30.53,0.0,26.72,0.59,4.73,51.12,0.53,0.36,85.0
938,24.49,95.5,10.99,31.02,0.0,27.03,0.59,5.17,55.9,0.76,0.59,83.0
939,21.77,77.97,9.59,28.74,0.0,26.46,1.17,4.57,51.05,0.88,0.79,122.0
940,27.91,88.52,9.68,29.8,0.0,26.99,1.07,4.72,56.82,0.8,1.34,119.0
941,22.36,91.72,11.51,29.57,0.0,26.87,1.07,4.67,23.6,0.62,1.27,94.0
942,27.27,90.24,8.0,28.65,0.0,26.22,0.48,5.23,45.36,0.8,0.82,89.0
943,26.57,91.01,7.35,26.22,0.0,24.62,1.5,5.34,54.93,1.07,2.03,136.0
944,20.74,91.07,12.96,26.36,0.0,24.78,1.77,5.6,41.25,0.74,0.63,130.0
945,17.67,74.63,16.81,25.46,0.0,24.54,2.95,5.31,39.16,0.74,2.39,160.0
946,13.74,62.14,10.46,25.64,0.0,24.15,0.63,5.89,25.85,0.8,0.98,55.0
947,17.69,78.23,9.01,27.5,0.0,24.57,1.27,5.13,30.04,0.78,1.64,106.0
948,15.21,81.72,8.53,27.33,0.0,24.46,2.44,5.32,6.06,0.64,3.42,127.0
949,22.82,88.33,8.83,27.76,0.0,24.53,2.91,5.27,54.59,0.71,3.19,176.0
950,21.07,99.54,8.48,27.75,0.0,24.43,2.01,5.79,48.17,0.74,1.98,143.0
951,22.31,92.2,14.25,29.38,0.0,24.68,0.95,5.12,33.6,1.17,1.19,74.0
952,14.14,77.12,10.87,27.85,0.0,24.56,0.61,4.46,9.71,1.01,1.06,50.0
953,10.11,71.85,14.03,32.5,0.0,24.42,0.68,4.06,16.65,1.22,1.39,56.0
956,19.41,115.3,12.81,32.52,0.0,22.95,0.96,4.92,26.54,1.33,1.47,82.0
957,20.88,68.12,14.75,29.7,0.0,24.17,0.64,5.4,7.35,0.84,0.84,70.0
958,17.91,60.6,7.34,24.95,0.0,24.61,1.01,5.43,20.51,1.09,1.18,65.0
959,18.42,78.23,5.51,29.56,0.0,24.71,1.25,4.51,21.86,1.03,0.76,70.0
960,14.92,57.1,7.89,30.9,0.0,24.69,0.61,4.3,21.39,0.91,0.88,64.0
961,18.66,53.12,9.13,27.62,0.0,24.52,0.68,4.7,20.13,0.77,0.66,57.0
962,10.89,61.8,16.11,29.64,0.0,24.3,1.02,4.93,11.17,1.04,0.54,63.0
963,14.53,88.86,11.74,28.09,0.0,24.48,0.95,4.92,16.04,0.71,0.56,48.0
964,18.87,89.66,11.4,26.93,0.0,24.4,0.89,5.08,20.89,0.68,0.67,63.0
965,18.18,75.76,9.12,26.59,0.0,24.3,0.85,4.21,27.15,0.95,1.01,62.0
966,59.05,66.25,11.58,27.01,0.0,24.49,0.71,4.66,21.84,1.03,1.31,68.0
967,97.97,49.59,8.83,25.15,0.0,24.22,0.57,4.71,19.86,0.85,0.82,172.0
968,14.19,72.62,9.51,26.25,0.0,25.06,0.97,4.61,19.83,0.61,0.54,91.0
969,11.71,48.41,11.76,26.08,0.0,24.2,0.67,4.85,7.65,0.58,0.64,39.0
970,17.58,89.92,15.21,28.01,0.0,24.36,0.86,5.52,13.12,0.55,0.62,47.0
971,16.33,100.74,15.67,28.51,0.0,24.61,1.01,4.79,14.98,0.5,0.57,57.0
972,20.42,90.87,10.24,26.31,0.0,24.58,0.85,4.85,16.33,0.69,0.69,56.0
973,24.96,111.68,7.86,26.74,0.0,24.78,0.77,5.48,24.66,0.92,1.05,69.0
974,158.67,86.06,12.57,26.66,0.0,24.45,1.25,4.92,13.48,1.37,1.78,200.0
975,114.92,87.12,24.01,31.99,0.0,24.44,0.82,4.8,15.86,1.44,2.18,135.0
976,14.2,59.94,16.73,30.59,0.0,24.2,0.68,4.77,29.74,0.9,1.2,107.0
977,39.74,85.24,15.95,30.16,0.0,24.42,0.77,4.65,23.83,1.18,1.56,74.0
978,14.2,98.1,13.44,28.6,0.0,24.44,1.34,5.28,23.99,1.59,1.86,79.0
979,21.2,49.13,14.2,28.55,0.0,24.13,0.63,5.28,27.63,1.11,1.57,101.0
980,9.57,100.44,14.26,30.93,0.0,24.37,0.7,5.62,12.5,1.37,1.83,60.0
981,32.86,72.73,11.97,30.75,0.0,24.37,0.91,4.7,34.54,1.41,1.81,75.0
982,22.63,83.19,17.49,36.31,0.0,24.34,0.69,4.83,15.06,1.44,2.21,114.0
985,17.48,104.51,16.21,39.09,0.0,25.28,0.73,5.45,11.3,1.04,1.01,68.0
986,16.5,108.42,12.07,34.8,0.0,24.62,0.67,4.68,12.87,0.96,1.11,59.0
987,14.05,90.68,9.17,29.42,0.0,24.2,0.94,4.4,28.38,0.81,1.22,63.0
988,8.58,71.81,11.34,31.38,0.0,25.08,0.58,4.68,18.53,0.93,1.01,52.0
989,8.49,92.8,11.49,31.42,0.0,24.21,0.37,5.42,14.39,0.63,0.67,49.0
990,7.02,52.78,12.3,31.84,0.0,23.37,0.42,5.52,5.9,0.55,0.64,40.0
991,8.57,66.31,8.79,28.46,0.0,23.92,0.42,5.12,6.18,0.5,0.54,43.0
992,7.68,87.05,8.76,29.35,0.0,23.97,0.42,5.56,19.64,0.55,0.55,44.0
993,10.21,81.53,6.9,28.47,0.0,24.05,0.47,5.14,25.61,0.5,0.51,52.0
994,12.64,80.51,7.32,28.19,0.0,24.04,0.38,5.16,24.16,0.57,0.6,51.0
995,17.93,80.49,6.28,27.46,0.0,24.05,0.35,4.89,28.96,0.9,0.91,51.0
996,21.62,91.14,10.16,30.95,0.0,24.15,0.4,5.3,41.31,1.65,2.24,76.0
997,23.7,112.5,15.23,35.09,0.0,24.18,0.49,6.04,29.38,1.7,1.99,76.0
998,19.26,53.18,8.88,29.23,0.0,23.77,0.4,5.49,24.14,1.31,1.97,57.0
999,22.47,76.88,8.48,29.13,0.0,23.87,0.48,4.76,27.37,1.17,1.75,65.0
1000,28.3,50.86,15.29,38.34,0.0,22.64,0.57,6.16,7.85,1.23,2.04,83.0
1001,21.59,90.26,4.57,24.81,0.0,21.83,0.32,4.63,21.6,1.08,1.0,56.0
1002,22.36,71.25,7.58,29.64,0.0,23.84,0.5,5.13,8.95,0.85,0.69,58.0
1003,30.65,68.52,7.05,26.24,0.0,23.87,0.45,5.74,29.89,1.1,1.08,61.0
1004,20.01,57.46,5.63,27.01,5.0,23.86,0.38,4.53,21.92,0.96,0.92,66.0
1005,20.5,46.54,38.94,25.68,9.0,23.89,0.52,5.64,34.02,0.88,0.75,69.0
1006,22.85,63.75,6.46,25.43,10.0,23.95,0.49,4.49,29.93,0.88,0.83,62.0
1007,121.63,67.04,4.69,24.72,123.0,23.88,0.57,5.36,30.31,1.35,1.16,125.0
1008,21.36,42.33,13.18,32.24,653.0,24.02,0.66,5.07,10.53,0.97,1.11,126.0
1009,24.73,55.39,8.58,28.49,479.0,24.05,0.6,5.66,28.31,1.38,1.78,80.0
1010,29.16,70.61,9.98,26.77,481.0,25.33,0.58,4.55,21.99,1.16,1.67,70.0
1011,78.14,65.04,7.57,22.5,357.0,26.27,0.58,4.22,35.86,1.1,1.31,104.0
1012,26.08,71.87,9.19,25.0,392.0,26.53,1.35,5.2,20.43,2.17,2.84,83.0
1013,32.21,73.85,9.9,29.03,374.0,26.4,2.02,3.93,45.08,1.3,4.13,130.0
1014,22.5,62.71,14.24,31.64,489.0,26.24,0.64,4.38,34.99,1.7,2.37,79.0
1015,27.29,54.56,10.47,30.86,436.0,26.64,0.57,4.2,22.7,1.65,2.39,71.0
1016,24.83,52.24,10.69,30.63,447.0,26.23,0.5,4.49,14.59,1.63,2.33,61.0
1017,32.61,44.65,10.09,28.07,387.0,26.16,0.48,4.64,9.9,1.41,2.03,67.0
1018,40.34,50.86,14.0,34.04,529.0,26.03,0.46,4.22,13.39,0.93,1.22,73.0
1019,21.63,76.61,9.41,29.07,386.0,26.29,0.43,4.05,15.03,2.11,2.24,58.0
1020,27.86,118.88,14.4,35.25,636.0,26.83,0.55,4.37,17.23,3.02,3.41,64.0
1021,39.39,188.67,18.27,41.73,731.0,26.76,0.62,4.81,27.54,2.92,3.57,98.0
1022,44.66,147.94,12.47,32.42,657.0,26.71,0.57,4.39,34.64,1.21,2.2,98.0
1023,79.76,264.9,14.24,40.38,681.0,26.81,0.58,5.88,38.72,1.6,2.51,177.0
1024,39.67,157.62,8.15,32.18,460.0,26.51,0.87,5.69,34.89,1.01,1.49,129.0
1025,22.44,118.74,8.29,31.05,380.0,26.26,0.79,5.32,28.1,0.81,1.27,79.0
1026,26.85,123.41,9.24,33.32,498.0,26.38,1.08,5.39,33.95,1.18,1.86,80.0
