Date,AvgAQI,AvgPM2.5,AvgPM10,AvgNO,AvgNH3,AvgCO,AvgSO2
02-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
03-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
04-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
05-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
06-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
07-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
08-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
09-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
10-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
11-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
12-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
13-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
14-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
15-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
16-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
17-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
18-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
19-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
20-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
21-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
22-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
23-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
24-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
25-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
26-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
27-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
28-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
29-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
30-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
31-07-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
01-08-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
02-08-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
03-08-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
04-08-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
05-08-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
06-08-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
07-08-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
08-08-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
09-08-2019,77.7704918,28.87363388,63.23887978,7.60284153,12.38371585,0.876693989,6.14579235
