Date,PM2.5,PM10,NO,NH3,CO,SO2,AQI_Bucket,AQI
25-01-2018,39.93,129.02,5.5,64.75,1.06,4.19,Moderate,101
26-01-2018,39.28,117.17,4.06,57.65,0.94,4.24,Satisfactory,98
27-01-2018,47.03,143.26,5.03,57.83,1.04,4.21,Moderate,104
28-01-2018,39.38,124.79,3.93,58.16,0.89,4.28,Moderate,109
29-01-2018,33.47,114.19,4.67,60.91,1.05,4.17,Satisfactory,94
30-01-2018,53.56,115.21,4.15,70.16,0.99,3.89,Satisfactory,99
31-01-2018,37.93,112.97,4.4,73.36,1.06,4.07,Moderate,109
01-02-2018,33.99,106.5,9.03,81.64,1.08,5.01,Satisfactory,94
02-02-2018,29.63,103.77,5.9,75.97,1.44,4.38,Moderate,118
03-02-2018,28.81,104.97,4.62,75.86,1.04,6.48,Satisfactory,88
04-02-2018,23.31,99.74,4.32,60.26,0.93,12.74,Satisfactory,87
05-02-2018,29.23,94.58,5.35,74.39,0.95,3.37,Satisfactory,81
06-02-2018,32.55,98.75,3.97,83.02,0.89,3.52,Satisfactory,85
07-02-2018,30.93,95.75,5.67,89.31,0.94,3.22,Satisfactory,79
08-02-2018,35.48,87.19,13.58,94.19,1.1,4.2,Satisfactory,80
09-02-2018,37.87,96.52,7.72,98.39,1.01,4.36,Satisfactory,95
10-02-2018,30.34,84.89,8.37,90.65,0.99,6.63,Satisfactory,83
11-02-2018,28.29,96.63,5.06,62.54,0.88,3.42,Satisfactory,76
12-02-2018,27.9,88.93,5.34,,0.98,2.99,Satisfactory,74
13-02-2018,30.53,55.15,3.37,,1.01,1.84,Satisfactory,78
14-02-2018,32.43,68.55,3.69,,0.96,1.61,Satisfactory,71
15-02-2018,30.19,59.31,3.96,,0.96,1.47,Satisfactory,71
16-02-2018,29.62,53.91,6.66,,0.98,2.79,Satisfactory,70
17-02-2018,32.11,70.68,8.19,,1.03,8.54,Satisfactory,77
18-02-2018,27.53,64.77,3.13,,0.95,5.69,Satisfactory,83
19-02-2018,28.6,62.32,3.48,,1.05,4.22,Satisfactory,82
20-02-2018,28.89,66.18,2.78,,1.09,3.15,Satisfactory,81
21-02-2018,34.62,79.69,5.45,,0.98,3.36,Satisfactory,80
22-02-2018,37.13,64.91,7.04,,0.95,3.19,Satisfactory,82
23-02-2018,34.6,71.15,3.84,,0.94,2.94,Satisfactory,83
24-02-2018,26.41,56.42,3.63,,0.96,2.35,Satisfactory,81
25-02-2018,21.87,33.81,3.17,,0.92,2.34,Satisfactory,69
26-02-2018,21.31,25.9,7.96,,1.01,2.61,Satisfactory,68
27-02-2018,23.35,30.13,7.4,,0.94,3.87,Satisfactory,71
28-02-2018,29.3,56.03,7.13,,1.04,3.4,Satisfactory,81
01-03-2018,29.48,99.47,4.8,,0.95,3.09,Satisfactory,83
02-03-2018,30.38,116.47,4.88,,0.98,3.53,Satisfactory,87
03-03-2018,38.39,121.49,6.26,,1,3.14,Satisfactory,92
04-03-2018,36.56,128.58,3.02,,1.02,4.2,Satisfactory,84
05-03-2018,30.79,94.71,7.78,,1.02,3.71,Satisfactory,86
06-03-2018,32.09,109.19,5.78,,0.96,3.85,Satisfactory,87
07-03-2018,33.88,114.17,3.4,,0.98,3.83,Satisfactory,90
08-03-2018,41.37,125.36,4.18,,1.08,3.66,Satisfactory,99
09-03-2018,59.48,133.95,12.31,,1.09,4.07,Moderate,104
10-03-2018,59.82,143.26,4.32,,1.05,4.18,Moderate,109
11-03-2018,45.19,123.62,2.76,,1.03,3.7,Moderate,106
12-03-2018,35.82,105.52,3.16,,1.05,4.01,Satisfactory,92
13-03-2018,20.49,63.71,4.21,,1.14,4.08,Satisfactory,76
14-03-2018,29.23,85.74,3.6,,1.15,4.17,Satisfactory,75
15-03-2018,26.46,54.8,8.41,,1.15,3.95,Satisfactory,77
16-03-2018,19.13,33.54,7.07,,1.03,3.88,Satisfactory,71
17-03-2018,23.01,33.85,5.6,,1.02,4.27,Satisfactory,74
18-03-2018,20.75,33.52,3.76,,1.09,3.39,Satisfactory,53
19-03-2018,31.94,57.31,4.22,,0.97,3.33,Satisfactory,61
20-03-2018,43.91,70.07,4.42,,1.49,3.26,Satisfactory,97
21-03-2018,42.72,98.38,3.75,,1.55,3.02,Moderate,124
22-03-2018,31.78,176.51,19.92,,1.83,3.78,Moderate,135
23-03-2018,40.18,136.77,27.3,,1.23,3.89,Moderate,127
24-03-2018,37.72,141.77,4.06,,0.82,3.61,Satisfactory,100
25-03-2018,38.84,113.42,4.49,,1.05,3.59,Satisfactory,98
26-03-2018,,94.3,6.77,,0.67,5.17,Satisfactory,100
27-03-2018,19.85,72.36,7.68,,0.78,6.99,Satisfactory,87
28-03-2018,,,,,1.01,,,
29-03-2018,,129.91,6.31,,1.2,1.5,,
30-03-2018,,126.18,3.64,,1.05,1.48,Moderate,118
31-03-2018,,95.37,3.67,,1.05,2.58,Moderate,104
01-04-2018,,112.89,3.56,,0.86,2.83,Moderate,102
02-04-2018,,96.92,5.94,,1,3,Moderate,107
03-04-2018,,100.63,9.49,,1.15,3.91,Satisfactory,98
04-04-2018,,106.41,5.83,,0.89,3.42,Moderate,108
05-04-2018,,114.6,5.13,,1.22,3.39,Moderate,107
06-04-2018,,108.71,7.27,,1.03,3.64,Moderate,108
07-04-2018,,109.09,4.89,,0.78,3.55,Moderate,106
08-04-2018,,94.63,4.36,,0.66,3.4,Moderate,103
09-04-2018,,67.05,5.04,,0.7,3.34,Satisfactory,93
10-04-2018,,64.9,6.41,,0.88,3.47,,
11-04-2018,,63.33,4.66,,1,3.4,,
12-04-2018,,64.13,5.74,,0.9,3.24,Satisfactory,88
13-04-2018,28.96,57.17,5.8,,0.98,3.56,Satisfactory,65
14-04-2018,,60.06,4.67,,0.96,3.8,Satisfactory,62
15-04-2018,,57.83,3.99,,0.67,3.42,Satisfactory,65
16-04-2018,30.43,55,5.41,,0.69,3.01,Satisfactory,61
17-04-2018,32.38,61.9,7.83,,0.87,2.74,Satisfactory,70
18-04-2018,36.4,69.46,6.2,,0.96,2.73,Satisfactory,67
19-04-2018,47.67,79.33,4.34,,0.91,6.9,Satisfactory,81
20-04-2018,36.52,60.94,8.43,,0.85,2.28,Satisfactory,85
21-04-2018,33.4,84.17,7.43,,0.9,2.7,Satisfactory,79
22-04-2018,33.42,75.88,3.64,,0.78,3.94,Satisfactory,74
23-04-2018,41.19,60.47,4.23,,0.8,3.94,Satisfactory,66
24-04-2018,42.62,77.31,6.45,,0.82,4.05,Satisfactory,82
25-04-2018,42.99,58.32,9.48,,0.98,4.06,Satisfactory,74
26-04-2018,49.93,,3.29,,0.85,5.71,Satisfactory,83
27-04-2018,44.12,,2.79,,1.16,5.25,Moderate,103
28-04-2018,39.22,,3.52,,0.91,5.54,Satisfactory,82
29-04-2018,44.57,,3.55,,0.69,6.03,Satisfactory,81
30-04-2018,187.49,,3.4,,1.14,5.46,Satisfactory,100
01-05-2018,59.11,,3,,0.59,6.12,Very Poor,352
02-05-2018,65.71,,3.54,,0.9,9.43,Moderate,114
03-05-2018,44.58,,5.02,,0.88,5.83,Satisfactory,98
04-05-2018,113.31,,3.72,,1.16,6.65,Satisfactory,73
05-05-2018,62.35,,3.63,,0.72,4.22,Moderate,144
06-05-2018,79,,3.35,,0.73,5.71,Satisfactory,99
07-05-2018,50.52,,28.39,,0.91,5.1,Moderate,151
08-05-2018,55.88,,4.95,,0.8,6.3,Moderate,113
09-05-2018,32.46,,3.82,,0.69,5.64,Satisfactory,76
10-05-2018,28.99,,6.84,,0.81,5.31,Satisfactory,65
11-05-2018,27.03,,7.84,,0.89,5.48,Satisfactory,59
12-05-2018,27.01,,3.38,,0.88,4.33,Satisfactory,62
13-05-2018,26.73,,3.42,,0.86,5.76,Satisfactory,60
14-05-2018,33.13,,5.95,,0.87,7.1,Satisfactory,69
15-05-2018,35.64,,7.74,,0.7,6.35,Satisfactory,64
16-05-2018,34.36,,5.28,,0.82,6.26,Satisfactory,61
17-05-2018,39.69,,3.42,,0.9,5.16,Satisfactory,65
18-05-2018,43.05,124.39,13.78,,1.1,4.09,Satisfactory,92
19-05-2018,45.09,94.78,17.64,,0.98,4.82,Satisfactory,98
20-05-2018,47.83,66.81,3.31,,0.79,4.3,Satisfactory,80
21-05-2018,52.64,58.23,8.66,,0.8,4.51,Satisfactory,71
22-05-2018,59.24,71.88,5.24,,1.06,3.12,Satisfactory,90
23-05-2018,62.6,84.46,7.04,,0.93,4.33,Moderate,117
24-05-2018,35.4,65.64,6.35,,0.92,4.77,Satisfactory,70
25-05-2018,46.14,64.28,7.52,,0.95,4.87,Satisfactory,73
26-05-2018,33.64,43.62,13.58,,1.12,3.78,Satisfactory,76
27-05-2018,41.73,52.37,11.87,,1.02,3.86,Satisfactory,89
28-05-2018,29.29,48.38,6.2,,1.19,4.26,Satisfactory,80
29-05-2018,16.92,27.94,6.37,,1.18,3.57,Satisfactory,67
30-05-2018,35.67,38.75,6.7,,1.01,3.68,Satisfactory,60
31-05-2018,33.16,41.38,7.15,,1.03,3.55,Satisfactory,73
01-06-2018,42.07,60.8,8.89,,0.99,3.69,Satisfactory,68
02-06-2018,44.47,54.34,10.58,,1.06,6.55,Satisfactory,86
03-06-2018,38.79,29.26,7.51,,1.01,4.18,Satisfactory,88
04-06-2018,23.35,28.86,8.65,,0.96,4.39,Satisfactory,60
05-06-2018,25.5,22.18,8.03,,0.94,6.31,Satisfactory,61
06-06-2018,22.77,27.69,7.8,,1.04,7.21,Satisfactory,63
07-06-2018,25.27,31.71,9.77,,1,5.85,Satisfactory,70
08-06-2018,19.28,21.36,9.94,18.55,0.91,6.23,Good,50
09-06-2018,19.32,26.98,9.68,,0.96,5.35,Satisfactory,52
10-06-2018,18.93,28.7,13.55,,0.92,5.19,Satisfactory,51
11-06-2018,23.76,34.25,10.26,,0.99,4.66,Satisfactory,65
12-06-2018,23.78,48.19,9.05,,0.99,3.37,Good,50
13-06-2018,27.34,48.59,10.17,,0.95,4,Good,49
14-06-2018,31.79,35.64,10.85,,1.02,2.91,Satisfactory,61
15-06-2018,61.43,33.51,9.95,54.13,1.01,3.21,Satisfactory,83
16-06-2018,22.24,43.59,9.44,65.66,1.09,3.24,Moderate,106
17-06-2018,17.38,42.66,9.08,65.85,1.06,3.83,Satisfactory,55
18-06-2018,13.38,100.6,9.51,52.88,1.15,4.93,Satisfactory,69
19-06-2018,32.62,100.12,8.27,39.88,1.06,4.53,Satisfactory,81
20-06-2018,13.64,73.69,8.31,39.82,1.06,4.83,Satisfactory,69
21-06-2018,16.71,76.66,7.76,39.87,1.02,5.1,Satisfactory,64
22-06-2018,18.94,79.08,10.67,40.19,1.02,4.68,Satisfactory,64
23-06-2018,23.76,55.83,9.93,43.21,1.03,4.7,Satisfactory,66
24-06-2018,21.84,73.73,7.93,43.75,0.98,4.64,Satisfactory,64
25-06-2018,51.82,70.62,6.93,39.41,1.01,4.79,Satisfactory,87
26-06-2018,32.62,56.97,5.69,42.98,0.93,4.78,Satisfactory,92
27-06-2018,11.68,42.25,4.95,42.71,1.02,4.87,Satisfactory,60
28-06-2018,9.23,34.44,6.3,42.01,0.99,5.5,Satisfactory,57
29-06-2018,11.93,44.86,10.26,37.54,0.99,5.95,Satisfactory,51
30-06-2018,18.23,65.8,32.78,26.36,1,6.63,Satisfactory,66
01-07-2018,19.15,64.03,24.59,26.09,0.89,6.11,Satisfactory,72
02-07-2018,16.29,55.13,28.13,24.06,0.88,6.9,Satisfactory,63
03-07-2018,21.63,62.68,23.02,20.48,0.87,7.51,Satisfactory,63
04-07-2018,18.55,71.37,17.71,22.71,0.79,6.49,Satisfactory,60
05-07-2018,20.36,74.52,17.18,21.44,0.82,6.47,Satisfactory,61
06-07-2018,21.44,58.91,17.06,22.71,0.86,6.63,Satisfactory,65
07-07-2018,15.56,38.84,13.94,22.06,0.76,7.2,Satisfactory,56
08-07-2018,22.83,42.49,13.04,22.05,0.89,7.09,Satisfactory,62
09-07-2018,21.11,56.44,20.04,22.46,0.88,7.5,Satisfactory,66
10-07-2018,36.65,52.63,19.76,20.65,0.87,7.49,Satisfactory,63
11-07-2018,20.8,53.13,17.69,22.12,0.9,8.27,Satisfactory,78
12-07-2018,17.82,51.19,15.33,21.33,0.75,8.6,Satisfactory,56
13-07-2018,16.63,47.82,12.73,23.13,0.78,7.14,Satisfactory,53
14-07-2018,18.87,60.54,16.04,21.52,0.75,7.47,Satisfactory,57
15-07-2018,17.08,63.33,12.09,20.98,0.71,6.66,Satisfactory,62
16-07-2018,19.93,47.19,19.67,21.92,0.8,7.32,Satisfactory,59
17-07-2018,16.98,53.45,10.93,23.5,0.82,7.56,Satisfactory,60
18-07-2018,18.83,56.14,6.08,21.62,0.8,7.75,Satisfactory,57
19-07-2018,16.82,43.02,6.33,20.52,0.86,7.58,Satisfactory,59
20-07-2018,15.52,41.94,6.5,20.52,0.83,7.49,Satisfactory,52
21-07-2018,17.44,52.67,6.02,20.49,0.83,7.68,Satisfactory,59
22-07-2018,18.63,67.89,5.71,20.14,0.85,8.01,Satisfactory,60
23-07-2018,19.86,51.56,9.81,21.94,0.87,7.9,Satisfactory,65
24-07-2018,17.85,50.14,7.46,25.82,0.92,7.08,Satisfactory,64
25-07-2018,17.62,44.75,8.78,23.36,0.94,7.68,Satisfactory,59
26-07-2018,20,55.87,12.84,20.06,0.83,7.55,Satisfactory,65
27-07-2018,22.28,64.9,8.27,18.75,0.76,7.46,Satisfactory,68
28-07-2018,21.05,64.54,6.85,18.96,0.77,6.84,Satisfactory,59
29-07-2018,20.1,57.53,6.38,20.18,0.79,6.51,Satisfactory,66
30-07-2018,22.92,65.5,15.82,22.04,0.97,7.18,Satisfactory,64
31-07-2018,20.96,67.39,16.68,22.48,0.75,6.44,Satisfactory,62
01-08-2018,20.59,68.6,17.54,21.15,0.83,6,Satisfactory,66
02-08-2018,20.73,68.41,12.55,20.75,0.83,6.28,Satisfactory,68
03-08-2018,23.34,71.35,17.03,20.61,0.9,6.5,Satisfactory,72
04-08-2018,27.61,94.02,23.36,20.08,0.9,6.8,Satisfactory,77
05-08-2018,20.75,81.19,17.45,19.42,0.83,7.15,Satisfactory,77
06-08-2018,23.63,66.31,18.79,19.36,0.78,5.94,Satisfactory,67
07-08-2018,18.24,59.59,18.82,19.67,0.81,6.18,Satisfactory,67
08-08-2018,18.35,43.88,24.08,19.55,0.87,6.68,Satisfactory,60
09-08-2018,17.33,55.07,21.68,20.98,0.83,6.27,Satisfactory,58
10-08-2018,18.24,59.31,23.38,19.74,0.79,7.52,Satisfactory,60
11-08-2018,18.6,46.24,23.61,19.86,0.78,6.44,Satisfactory,56
12-08-2018,10.61,35.22,16.83,18.86,0.77,6.96,Satisfactory,57
13-08-2018,11.4,39.72,18.47,18.9,0.8,5.96,Satisfactory,53
14-08-2018,13.1,31.87,20.8,18.01,0.89,6.34,Satisfactory,60
15-08-2018,15.35,36.24,17.91,19.41,0.85,6.35,Satisfactory,59
16-08-2018,12.86,38.58,14.92,20.34,0.68,5.58,Satisfactory,52
17-08-2018,16.77,52.28,16.77,17.01,0.67,5.76,Good,48
18-08-2018,20.09,65.73,15.73,17.14,0.73,6.76,Satisfactory,57
19-08-2018,16.78,52.97,13.99,16.94,0.69,6.44,Satisfactory,59
20-08-2018,24.78,67.41,19.12,19.27,0.74,6.65,Satisfactory,53
21-08-2018,20.61,77.55,18.5,22.57,0.77,5.95,Satisfactory,69
22-08-2018,20.75,74,19.51,21.02,0.78,6.92,Satisfactory,65
23-08-2018,17.29,52.66,22.31,21.4,0.9,7.32,Satisfactory,63
24-08-2018,18.74,60.28,22.92,21.91,0.82,7.81,Satisfactory,62
25-08-2018,22.36,75.89,24.38,25.09,0.92,7.61,Satisfactory,67
26-08-2018,18.42,60.03,21.34,23.73,0.93,7.07,Satisfactory,70
27-08-2018,19.86,64.68,25.62,24.91,0.86,7.09,Satisfactory,62
28-08-2018,21.93,63.28,20.83,22.82,0.81,6.5,Satisfactory,64
29-08-2018,20.52,49.08,16.42,21.16,0.87,6.94,Satisfactory,68
30-08-2018,23.33,66.23,22.69,19.65,0.79,7.56,Satisfactory,68
31-08-2018,19.74,57.18,24.42,24.71,0.83,7.34,Satisfactory,64
01-09-2018,23.62,78.59,18.31,22.74,0.8,7.25,Satisfactory,68
02-09-2018,21.84,69.2,16.09,19.52,0.76,8.3,Satisfactory,66
03-09-2018,25.06,73.19,24.51,18.8,0.87,8.66,Satisfactory,63
04-09-2018,32.78,81.02,21.82,21.32,0.91,8.63,Satisfactory,76
05-09-2018,25.32,77.04,19.25,20.18,0.85,7.69,Satisfactory,78
06-09-2018,25.21,71.56,20.52,19.48,0.8,8.53,Satisfactory,66
07-09-2018,27.2,66.34,20.06,19.09,0.79,8.27,Satisfactory,70
08-09-2018,18.32,47.45,9.29,18.31,0.75,7.58,Satisfactory,63
09-09-2018,19.07,56.66,9.72,19.12,0.82,7.65,Satisfactory,64
10-09-2018,28.1,72.52,8.51,23.38,0.96,7.71,Satisfactory,73
11-09-2018,30.34,79.46,12.1,24.82,0.95,6.95,Satisfactory,90
12-09-2018,24.47,73.31,16.57,22.64,0.96,7.44,Satisfactory,91
13-09-2018,29.84,76.26,14.04,26.39,0.99,8.27,Satisfactory,88
14-09-2018,27.72,76.6,14.95,30.61,0.98,7.55,Satisfactory,94
15-09-2018,24.1,56.2,15.31,26.97,0.95,7.46,Satisfactory,77
16-09-2018,24.43,55.34,26.3,25.87,0.96,8.26,Satisfactory,73
17-09-2018,19.03,49.62,23.91,23.55,0.83,7.87,Satisfactory,74
18-09-2018,19.86,64.1,17.97,23.56,0.76,7.24,Satisfactory,65
19-09-2018,20.21,69.15,12.96,20.72,0.76,7.82,Satisfactory,65
20-09-2018,25.55,74.65,28.53,20.6,0.89,7.22,Satisfactory,79
21-09-2018,26.75,81.33,15.97,21.57,0.8,6.83,Satisfactory,87
22-09-2018,24.45,80.93,21.53,20.87,0.83,7.24,Satisfactory,77
23-09-2018,30.84,75.04,13.19,24.26,0.85,7.1,Satisfactory,87
24-09-2018,22.6,56.12,16.43,22.95,0.93,6.7,Satisfactory,85
25-09-2018,26.76,63.24,19.45,20.27,0.99,6.79,Satisfactory,78
26-09-2018,31.25,76.66,12.51,17.5,0.87,6.76,Satisfactory,85
27-09-2018,29.24,72.24,13.98,14.07,0.94,6.59,Satisfactory,80
28-09-2018,26.36,77.69,13.23,15.1,0.8,6.14,Satisfactory,78
29-09-2018,17.35,64.18,13.34,13.5,0.79,6.06,Satisfactory,75
30-09-2018,25.28,62.82,13.1,15.14,0.81,5.67,Satisfactory,70
01-10-2018,21.61,66.61,14.5,14.76,0.87,6.59,Satisfactory,82
02-10-2018,14.51,51.79,11.08,13.69,0.74,6.36,Satisfactory,67
03-10-2018,15.17,52.6,12.05,13.57,0.76,6.27,Satisfactory,65
04-10-2018,21.47,46.9,16.7,13.65,0.8,6.52,Satisfactory,65
05-10-2018,13.99,40.41,15.24,14.61,0.78,6.96,Satisfactory,62
06-10-2018,14,42,14.33,12.98,0.78,6.52,Satisfactory,56
07-10-2018,20.86,69.05,13.17,14.74,0.74,6.73,Satisfactory,62
08-10-2018,32.94,96.04,12.11,15.77,0.79,6.84,Satisfactory,73
09-10-2018,31.82,91.63,14.75,14.37,0.85,6.89,Satisfactory,80
10-10-2018,40.93,109.21,18.56,14.9,0.81,6.48,Satisfactory,93
11-10-2018,55.08,147.26,30.58,15.2,0.99,6.55,Moderate,110
12-10-2018,56.31,151.57,30.12,14.22,0.93,6.53,Moderate,115
13-10-2018,72.74,158.69,23.04,16.09,0.9,6.35,Moderate,167
14-10-2018,48.48,100.3,6.99,13.1,0.8,6.28,Moderate,116
15-10-2018,41.44,88.52,9.88,14.07,0.88,6.36,Satisfactory,88
16-10-2018,35.37,94.07,10.95,12.5,0.74,6.52,Satisfactory,90
17-10-2018,19.99,51.83,14.07,11.95,0.75,6.56,Satisfactory,75
18-10-2018,62.95,55.23,14,12.18,0.82,6.45,Moderate,116
19-10-2018,20.75,61.94,9.89,12,0.74,6.31,Satisfactory,81
20-10-2018,25.61,86.65,10.61,11.56,0.75,6.74,Satisfactory,71
21-10-2018,36.42,122.86,14.12,12.67,0.74,7.29,Satisfactory,88
22-10-2018,37.81,132.8,20.84,11.84,1.04,7.54,Moderate,102
23-10-2018,49.17,123.18,23.55,13.07,1.16,8.02,Moderate,119
24-10-2018,62.67,111.41,19.33,14.23,1.01,8.31,Moderate,132
25-10-2018,46.34,121.55,17.54,16.93,1.02,6.52,Moderate,110
26-10-2018,50.19,123.42,14.97,22.94,1.01,7.67,Moderate,101
27-10-2018,39.65,112.7,15.66,20.03,1.03,6.75,Moderate,107
28-10-2018,37.32,96.1,15.03,19.55,0.97,6.29,Moderate,108
29-10-2018,36.11,101.84,26.17,18.69,1.12,7.03,Moderate,103
30-10-2018,40.12,109.55,31.63,19.22,1.19,6.8,Moderate,125
31-10-2018,40.02,106.07,16.33,20.09,1.06,5.81,Moderate,107
01-11-2018,20.96,66.49,16.9,16.25,0.95,7.01,Satisfactory,92
02-11-2018,17.57,56.53,12.79,16.35,0.96,6.14,Satisfactory,84
03-11-2018,21.42,63.23,11.8,16.22,1.1,6.46,Satisfactory,82
04-11-2018,21.84,77.72,9.14,15.52,0.82,6.17,Satisfactory,74
05-11-2018,23.98,90.86,11.81,15.31,1.03,6.14,Satisfactory,81
06-11-2018,41.38,116.55,11.41,15.25,1.12,7.11,Moderate,110
07-11-2018,57.03,107.56,11.01,15.57,1.04,7.8,Satisfactory,97
08-11-2018,61.98,108.02,14.54,15.34,0.99,7.7,Moderate,144
09-11-2018,33.68,98.45,11.58,15.66,0.99,5.77,Satisfactory,94
10-11-2018,50.36,88.44,14.78,17.41,1.05,4.97,Satisfactory,96
11-11-2018,55.48,101.12,16.45,17.68,1.11,5.67,Moderate,105
12-11-2018,63.66,120.24,32.73,18.69,1.38,6.65,Moderate,113
13-11-2018,71.05,130.84,25.65,18.82,1.46,7.96,Moderate,143
14-11-2018,77.53,143.53,40.06,21.93,1.57,7.78,Moderate,143
15-11-2018,58.35,105.52,21.57,20.58,1.43,6.5,Moderate,141
16-11-2018,25.1,59.99,11.77,18.74,1.05,5.06,Satisfactory,88
17-11-2018,49.2,96.6,7.31,17.03,1.02,5.2,Satisfactory,84
18-11-2018,41.2,83.45,9.24,16.24,1.01,5.38,Satisfactory,91
19-11-2018,19.95,61.66,13,14.46,1.1,5.57,Satisfactory,77
20-11-2018,25.85,67.23,15.66,15.63,1.09,5.21,Satisfactory,77
21-11-2018,33.31,71.11,11.66,16.38,1.02,5.74,Satisfactory,81
22-11-2018,17.95,39.52,13.98,15.83,1.03,5.89,Satisfactory,73
23-11-2018,25.58,50.78,16.08,18.03,1.11,5.57,Satisfactory,79
24-11-2018,108.3,93.05,11.24,19.59,1.04,5.34,Moderate,144
25-11-2018,61.34,106.53,7.46,21.03,0.85,5.25,Moderate,142
26-11-2018,71.66,119.7,7.78,21.13,0.83,5.65,Moderate,124
27-11-2018,54.73,137.9,19.16,41.22,0.84,5.5,Moderate,127
28-11-2018,59.58,112.2,10.19,21.36,0.89,5.6,Moderate,127
29-11-2018,42.06,86.54,11.35,18.27,0.93,5.48,Moderate,119
30-11-2018,43.16,79.92,10.45,20.64,0.89,5.46,Satisfactory,94
01-12-2018,40.67,83.54,12.57,20.42,0.97,5.49,Satisfactory,86
02-12-2018,28.25,68.25,9.29,18.89,0.79,6.21,Satisfactory,92
03-12-2018,33.56,69.43,11.16,18.51,0.8,6.78,Satisfactory,73
04-12-2018,25.83,74.27,15.31,18.98,0.89,5.86,Satisfactory,75
05-12-2018,51.43,64.2,13.6,18.26,0.87,5.69,Moderate,106
06-12-2018,29.32,81.35,13.52,17.66,0.9,6.47,Satisfactory,87
07-12-2018,37.49,150.02,16.07,17.51,0.93,5.9,Satisfactory,90
08-12-2018,61,98.66,9.36,15.46,0.78,5.86,Moderate,119
09-12-2018,63.28,110.14,5.87,11.87,0.75,7.38,Moderate,128
10-12-2018,75.78,137.41,9.79,15.23,1.04,5.77,Moderate,157
11-12-2018,88.98,177.97,12.13,20.08,1.08,5.94,Moderate,180
12-12-2018,78.59,142.62,11.17,19.75,1.05,6.32,Moderate,179
13-12-2018,67.36,103.83,10.53,19.05,1.03,6.32,Moderate,148
14-12-2018,48.45,84.47,12.96,18.13,0.97,6.57,Moderate,103
15-12-2018,47.62,81.06,15.51,18.23,0.96,6.24,Satisfactory,85
16-12-2018,64.42,109.67,13.08,16.93,0.98,6.45,Moderate,112
17-12-2018,86.94,140.52,39.83,18.74,1.29,7.69,Moderate,146
18-12-2018,98.84,181.41,60.14,24.42,1.72,5.98,Poor,225
19-12-2018,61.84,132.37,15.76,21.56,1.11,6.12,Moderate,142
20-12-2018,45.7,105.66,11.87,19.31,0.83,6.04,Moderate,130
21-12-2018,51.63,106.8,22.16,18.56,0.99,5.88,Moderate,116
22-12-2018,42.57,93.24,12.09,17.98,0.91,6.01,Moderate,109
23-12-2018,37.34,86.46,9.1,16.35,0.82,4.98,Satisfactory,87
24-12-2018,43.13,85.68,10.4,15.77,0.85,5.33,Satisfactory,79
25-12-2018,57.89,102.48,10.72,16.55,0.93,5.24,Moderate,103
26-12-2018,59.38,100.47,10.07,16.61,1.01,5.27,Moderate,118
27-12-2018,57.28,107.8,12.41,16.37,0.9,5.67,Moderate,117
28-12-2018,68.37,111.01,9.44,17.22,0.91,6.12,Moderate,123
29-12-2018,65.81,106.31,11.15,17.7,0.89,6.07,Moderate,124
30-12-2018,64.29,100.07,8.74,16,0.85,5.34,Moderate,127
31-12-2018,63.77,107.44,15.48,16.72,1.02,7.25,Moderate,123
01-01-2019,61.55,107.76,14.75,17.97,0.98,8.29,Moderate,128
02-01-2019,47.27,92.47,12.94,20.45,1.06,10.22,Moderate,103
03-01-2019,48.86,96.42,16.74,29.72,1.01,8.15,Moderate,101
04-01-2019,51.35,105.52,17.37,24.95,1.09,5.76,Moderate,106
05-01-2019,46.57,99.1,15.87,18.17,1.03,6.13,Moderate,104
06-01-2019,56.8,105.51,9.68,22.58,0.89,6.36,Moderate,115
07-01-2019,58.29,116.5,15.59,26.01,1.05,7.13,Moderate,120
08-01-2019,60.04,106.76,19.73,26.12,1.06,7.64,Moderate,120
09-01-2019,62.6,113.27,17.76,25.66,1.05,7.01,Moderate,122
10-01-2019,63.63,108.49,12.78,30.88,0.94,5.88,Moderate,120
11-01-2019,59.52,111.13,14.65,29.43,1.01,5.79,Moderate,126
12-01-2019,70.5,121.91,14.05,28.56,1.04,5.73,Moderate,132
13-01-2019,54.44,99.59,10.6,27.09,0.93,5.47,Moderate,125
14-01-2019,58.36,110.39,14.18,26.18,1.02,4.93,Moderate,111
15-01-2019,47.13,86.88,16.17,21.74,0.85,5.28,Moderate,109
16-01-2019,62.4,99.49,10.64,24.59,0.98,5.05,Moderate,113
17-01-2019,67.83,120.55,15.74,23.07,1.09,5.74,Moderate,121
18-01-2019,75.06,118.41,7.81,14.87,1.02,5.35,Moderate,152
19-01-2019,59.01,102.34,7.41,17.08,0.94,5.07,Moderate,122
20-01-2019,42.33,82.67,5.69,14.47,0.79,5.2,Moderate,106
21-01-2019,52.05,99.24,6.26,15.56,0.92,5.32,Moderate,101
22-01-2019,72.45,136.15,18.68,17.27,1.06,5.06,Moderate,145
23-01-2019,60.91,121.85,11.95,16.95,1.04,5.42,Moderate,156
24-01-2019,50.66,109.76,7.08,15.78,0.87,4.97,Moderate,130
25-01-2019,35.76,87.96,7.16,14.75,0.84,4.79,Moderate,109
26-01-2019,51.09,101.59,7.25,15.32,0.87,5.27,Moderate,102
27-01-2019,40.56,87.62,5.89,14.06,0.8,5.16,Moderate,101
